Name,Department or Faculty,URL,XPATH,Remark
University of Amsterdam,,,,
Ecole Polytechnique,,,,
Monash University,,,,
University of Washington,,,,
Shanghai Jiao Tong University,,,,
Osaka University,,,,
Technical University of Munich,,,,
University of Glasgow,,,,
Ludwig-Maximilians-Universit??t M??nchen,,,,
University of Texas at Austin,,,,
Ruprecht-Karls-Universit??t Heidelberg,,,,
University of Illinois at Urbana-Champaign,,,,
Georgia Institute of Technology,,,,
Pohang University of Science And Technology (POSTECH),,,,
KU Leuven,,,,
University of Copenhagen,,,,
University of Zurich,,,,
Universidad de Buenos Aires (UBA),,,,
Tohoku University,,,,
National Taiwan University (NTU),,,,
Durham University,,,,
Lund University,,,,
"University of North Carolina, Chapel Hill",,,,
Boston University,,,,
The University of Auckland,,,,
The University of Sheffield,,,,
University of Birmingham,,,,
The University of Nottingham,,,,
The Ohio State University,,,,
Zhejiang University,,,,
"Trinity College Dublin, The University of Dublin",,,,
Rice University,,,,
Korea University,,,,
University of Alberta,,,,
University of St Andrews,,,,
The University of Western Australia,,,,
Pennsylvania State University,,,,
Lomonosov Moscow State University,,,,
The Hong Kong Polytechnic University,,,,
University of Science and Technology of China,,,,
University of Geneva,,,,
KTH Royal Institute of Technology,,,,
Washington University in St. Louis,,,,
